,Suhu3pm,Suhu9am,SuhuMax,Tekanan3pm
170,23.4,22.2,23.5,1013.3
171,,,,
172,22.1,20.9,23.0,1017.4
173,16.1,12.8,16.7,1018.0
174,10.9,10.6,12.3,1026.1
175,16.2,16.2,17.9,1010.1
176,23.4,13.8,23.7,1024.7
177,29.0,16.2,31.8,
178,19.2,11.7,19.7,1023.0
179,14.3,11.1,16.1,1010.0
180,13.2,7.3,14.3,1013.0
181,12.7,7.7,14.5,1021.9
182,24.8,19.8,25.6,
183,16.6,12.2,20.4,1014.4
184,20.4,15.6,22.8,
185,20.2,12.9,21.1,1018.4
186,23.4,18.4,25.0,1017.2
187,24.6,15.6,25.4,1007.1
188,17.8,21.1,22.6,1009.3
189,18.7,11.1,19.1,1016.1
190,19.9,13.0,18.5,
191,22.4,17.6,23.3,1010.7
192,37.6,26.0,37.7,1006.2
193,22.7,15.0,23.8,1018.0
194,20.5,19.2,21.5,1008.4
195,12.8,12.1,14.3,1025.1
196,29.4,19.7,31.8,1014.6
197,12.4,10.7,14.1,1018.4
198,32.1,22.9,34.0,999.3
199,19.6,18.2,19.9,1020.6
200,23.8,21.5,26.0,1019.1
201,20.7,12.2,21.5,1020.1
202,18.1,9.9,18.3,1026.1
203,32.3,25.5,32.6,1004.0
204,25.3,22.8,26.1,1017.5
205,21.3,20.5,22.1,1015.4
206,25.2,19.8,25.8,1017.7
207,20.5,14.3,21.1,1024.6
208,24.1,16.7,25.6,1016.3
209,26.6,18.0,28.2,1016.9
210,24.2,23.4,25.0,999.9
211,14.9,9.3,16.3,1010.6
212,13.2,12.2,14.5,1027.3
213,17.2,16.9,18.3,1021.9
214,27.5,25.6,28.4,1014.9
215,20.6,15.6,21.8,1018.0
216,13.4,11.4,14.0,1013.3
217,12.8,8.3,13.3,1024.8
218,20.2,16.0,20.4,1020.7
219,21.3,21.7,22.8,1021.2
220,15.5,16.5,18.0,998.5
221,32.0,23.4,32.8,1007.4
222,35.8,28.7,37.2,1012.5
223,3.2,2.5,5.8,
224,14.1,12.8,14.4,1011.6
225,15.9,11.9,16.8,1033.8
226,33.4,19.9,35.0,1016.8
227,13.0,10.6,13.3,1014.5
228,19.9,13.6,20.4,1015.9
229,25.9,15.7,27.5,1016.4
230,16.2,8.2,16.8,1020.3
231,28.2,25.2,29.9,1021.0
232,17.0,9.1,18.3,1011.6
233,11.8,8.4,12.5,1011.6
234,13.8,14.8,15.8,
235,18.0,11.7,19.8,1012.6
236,31.2,20.1,33.9,1016.9
237,27.8,19.7,28.9,1010.3
238,23.9,18.0,26.1,1020.0
239,19.2,6.2,21.0,1022.0
240,37.8,27.3,39.1,1010.6
241,33.9,24.9,34.7,
242,17.9,15.0,19.5,1018.1
243,26.4,21.1,27.9,1018.6
244,21.4,16.2,22.1,1017.9
245,22.8,10.8,22.8,1013.6
246,25.9,17.3,26.4,1021.1
247,24.8,19.4,25.8,
248,8.5,7.4,8.6,
249,16.4,12.8,16.7,1016.8
250,10.6,6.5,12.9,1025.0
251,21.5,19.7,23.3,1021.1
252,11.5,0.0,12.6,1018.0
253,,17.4,25.2,
254,29.2,18.7,30.6,1020.5
255,37.6,28.1,38.9,1009.8
256,12.1,9.8,13.8,1008.9
257,31.9,26.7,32.7,1007.4
258,25.6,15.4,26.3,1021.7
259,25.4,16.3,26.6,1006.9
260,24.5,21.9,26.5,1017.2
261,20.3,16.6,21.0,1015.1
262,30.6,22.9,32.4,1011.8
263,18.8,17.6,19.5,1015.7
264,33.7,29.3,35.7,1004.5
265,14.7,10.0,16.1,1029.8
266,17.1,14.6,18.2,1015.6
267,,30.0,37.0,1009.9
268,,12.0,19.0,
269,19.2,13.8,20.7,1013.8
270,17.1,18.4,19.9,1014.2
271,22.6,23.5,28.8,
272,27.6,27.1,28.6,1016.8
273,15.5,14.2,17.4,998.5
274,26.3,24.2,27.0,1009.6
275,15.3,9.4,15.9,1024.3
276,18.5,20.1,20.2,1010.8
277,12.5,10.2,13.0,1011.1
278,32.6,24.5,34.6,1005.7
279,25.6,22.6,27.0,1013.6
280,33.2,32.0,40.5,1005.8
281,26.9,19.4,29.3,1013.0
282,16.6,14.4,18.5,1008.8
283,24.5,19.1,25.9,1012.3
284,35.7,26.4,36.5,
285,13.1,11.6,14.8,1018.6
286,9.4,,11.2,1010.3
287,26.7,22.1,28.5,1006.0
288,15.3,12.3,15.9,1008.8
289,18.1,16.2,19.5,1023.2
290,30.4,26.1,32.0,1008.8
291,23.7,11.7,25.4,1014.7
292,15.5,12.5,16.7,1020.3
293,18.4,12.4,19.6,
294,23.2,21.5,26.1,1023.7
295,14.5,4.2,15.2,1026.9
296,26.7,20.2,27.2,
297,27.0,19.2,27.2,
298,18.8,21.8,26.4,
299,25.8,16.8,28.0,
300,,,7.4,
301,27.4,22.6,32.9,1012.2
302,12.0,7.2,12.2,1009.4
303,30.9,22.6,32.4,1011.9
304,21.5,21.8,27.0,1013.3
305,22.2,13.2,22.6,1030.3
306,23.9,21.4,25.2,1011.2
307,17.1,7.7,18.1,1017.5
308,30.9,27.5,32.9,1007.6
309,14.9,10.5,17.1,1007.5
310,,12.8,15.6,1018.8
311,23.9,17.5,24.3,1021.0
312,29.1,27.6,30.6,1009.9
313,26.7,20.5,26.9,1020.3
314,29.6,20.9,31.1,1016.0
315,12.3,10.8,15.1,1020.3
316,,18.8,22.0,
317,18.5,10.2,19.2,1026.2
318,13.6,12.8,15.7,1017.4
319,19.3,13.0,19.5,1012.0
320,17.1,13.3,19.7,1021.2
321,29.9,24.7,32.1,1010.4
322,18.3,9.0,19.1,1020.7
323,16.9,16.0,17.4,1016.9
324,13.6,10.3,15.8,1006.9
325,14.3,7.4,15.5,1022.7
326,22.6,20.5,25.9,1005.0
327,19.2,6.6,19.4,1026.6
328,14.8,10.2,15.8,1017.3
329,22.9,23.2,25.5,1015.8
330,17.8,9.0,18.5,1022.1
331,19.8,12.4,20.5,1007.0
332,9.9,8.7,11.0,1016.6
333,22.0,18.7,25.0,1024.6
334,29.6,20.6,31.3,1007.4
335,19.9,25.0,26.8,1007.0
336,22.0,14.3,22.4,1022.1
337,23.2,17.1,23.4,1023.9
338,38.8,30.0,39.4,1004.2
339,20.7,16.5,22.4,1016.7
340,18.8,11.8,21.2,1011.2
341,31.6,23.9,32.1,1012.9
342,27.3,25.6,27.9,1017.6
343,22.6,20.4,23.6,1015.1
344,28.9,25.0,30.4,1006.9
345,10.8,10.7,11.6,1013.4
346,24.5,19.4,26.1,1015.4
347,20.6,16.0,23.7,1014.4
348,15.1,9.1,16.1,1027.9
349,24.5,12.9,26.2,1019.7
350,29.4,21.5,31.0,
351,27.8,25.5,29.3,1019.0
352,29.5,22.8,29.7,1009.1
353,26.5,17.8,29.6,1014.2
354,21.9,19.4,22.9,1018.6
355,29.7,29.3,31.9,1010.7
356,22.1,15.0,22.5,1021.1
357,17.6,11.2,18.6,1014.1
358,24.8,23.0,26.0,
359,21.2,18.4,22.8,1015.8
360,18.7,17.4,22.8,1013.8
361,24.4,19.5,25.5,1016.9
362,20.3,21.4,23.6,1016.2
363,23.8,15.8,24.5,1022.9
364,18.9,10.8,19.0,
365,16.1,12.0,17.0,1021.2
366,37.4,31.7,39.2,1008.5
367,18.3,12.6,19.7,1022.3
368,30.1,24.3,32.3,1010.6
369,18.1,18.4,20.9,1019.7
370,20.6,19.5,24.5,1017.9
371,23.7,16.8,24.9,1020.5
372,9.2,11.4,16.0,
373,38.9,24.4,40.3,1004.4
374,19.6,12.6,20.2,1028.2
375,28.4,20.9,30.1,1018.4
376,42.7,33.0,43.3,1006.1
377,14.6,10.0,16.7,
378,27.2,24.6,28.8,1014.2
379,31.9,23.5,32.6,1012.9
380,18.8,13.3,20.0,
381,17.7,14.5,19.2,1013.7
382,17.8,15.5,19.0,1022.1
383,26.8,34.2,37.1,1007.3
384,25.0,15.0,25.7,
385,19.5,15.1,22.0,1025.9
386,26.9,25.0,28.7,1018.5
387,27.5,24.5,28.9,1018.2
388,17.4,14.2,18.8,1011.9
389,11.6,3.3,12.4,1019.8
390,28.9,17.4,30.6,1013.2
391,25.5,22.3,28.0,1017.5
392,21.2,17.1,22.4,1008.6
393,30.6,23.0,31.8,1009.7
394,21.5,16.7,22.6,1021.3
395,20.5,19.8,21.3,1017.0
396,16.3,11.9,18.4,
397,26.0,23.8,27.2,998.6
398,25.0,17.8,25.2,1016.7
399,29.7,22.6,30.3,1006.2
400,20.7,18.6,23.1,
401,14.0,13.7,16.3,1007.7
402,29.0,26.9,29.9,1011.0
403,20.6,15.2,21.6,1020.4
404,34.2,26.2,36.8,1010.6
405,28.3,19.5,28.3,1013.3
406,18.1,17.9,21.5,1013.9
407,23.8,15.8,24.8,
408,18.4,16.7,21.1,1000.9
409,16.1,12.1,16.4,1015.5
410,16.3,11.0,17.1,1028.5
411,24.6,21.5,26.0,1018.4
412,22.0,17.9,22.9,1011.0
413,5.4,2.3,6.1,
414,16.4,8.1,16.6,
415,25.5,24.9,27.8,1007.8
416,26.5,18.3,27.3,1022.1
417,28.0,24.5,30.2,1007.5
418,26.0,18.4,27.5,1014.9
419,21.7,16.5,23.7,1007.0
420,33.6,22.6,35.4,
421,25.5,22.8,27.5,1012.6
422,13.7,10.3,13.8,
423,23.9,11.5,24.8,
424,22.7,18.8,23.8,1016.1
425,13.8,13.3,14.5,1024.3
426,30.9,21.4,33.4,1007.0
427,31.5,21.7,32.5,
428,32.5,32.3,34.7,1009.8
429,25.7,24.1,28.0,1002.9
430,25.0,15.8,25.1,1013.3
431,22.7,17.6,23.1,1016.6
432,15.3,9.2,15.9,1019.0
433,26.5,21.7,28.0,1003.2
434,27.6,21.4,29.9,1016.4
435,24.1,23.2,25.5,1019.9
436,14.9,14.9,20.1,1007.1
437,22.2,17.9,23.3,1011.9
438,18.2,13.6,19.5,1017.3
439,26.4,20.0,29.3,1018.0
440,23.7,24.4,38.1,1006.3
441,10.2,11.3,12.3,1006.2
442,24.4,18.3,25.6,1017.4
443,14.2,9.0,15.6,1015.4
444,28.4,21.7,30.5,1011.7
445,21.0,18.8,22.4,1019.9
446,23.6,17.2,24.3,1014.8
447,28.5,24.4,28.9,1011.0
448,21.3,21.0,23.3,989.6
449,10.5,13.2,14.5,
450,20.8,19.8,21.3,1022.4
451,17.0,14.2,18.4,1023.6
452,24.1,21.7,29.4,1009.5
453,24.2,18.6,25.5,1014.2
454,19.3,14.0,20.2,1011.4
455,15.5,13.7,15.6,1017.7
456,32.8,24.9,34.8,1015.5
457,33.3,26.1,35.1,1006.2
458,15.7,14.6,17.4,1013.7
459,28.9,23.1,30.3,1017.9
460,16.8,7.6,17.2,1009.2
461,15.6,10.3,16.2,1018.7
462,18.1,17.4,19.6,1013.8
463,22.6,16.7,24.3,1017.4
464,19.1,13.3,19.8,1020.7
465,17.1,13.4,18.1,1011.0
466,16.7,13.4,19.3,1021.4
467,18.7,18.0,19.9,1020.7
468,10.7,8.9,12.5,1017.9
469,34.5,25.2,36.7,1016.6
470,13.5,13.9,18.5,
471,22.5,18.6,24.0,1017.9
472,14.3,12.5,15.8,1008.5
473,29.1,22.2,30.6,1018.7
474,9.8,13.3,13.9,1011.2
475,14.8,10.0,16.1,1016.5
476,20.6,15.0,22.7,1014.6
477,27.4,26.2,28.5,1010.2
478,17.8,17.1,18.9,1017.3
479,12.0,9.6,14.6,1014.7
480,9.3,8.0,10.4,1029.2
481,28.0,14.7,29.1,1020.3
482,15.8,9.3,16.5,1018.4
483,19.3,,,1015.1
484,35.3,28.6,37.4,1010.0
485,29.0,27.6,30.0,1011.2
486,19.8,16.5,20.4,1021.5
487,20.5,15.7,22.2,1020.8
488,21.2,18.5,22.9,1013.5
489,19.4,14.6,20.6,993.5
490,27.2,22.3,28.8,1014.4
491,20.0,18.4,20.9,1020.0
492,16.4,9.9,17.1,1010.4
493,25.9,23.6,27.1,1018.0
494,16.0,9.5,17.4,
495,11.6,11.4,13.6,999.0
496,14.3,7.5,15.0,1027.2
497,13.7,12.5,14.7,1022.5
498,11.1,9.9,12.2,1022.4
499,15.7,12.3,17.0,1022.4
500,24.1,19.0,25.0,1016.0
501,29.6,30.4,33.3,1009.3
502,20.0,16.7,21.0,1019.3
503,19.2,18.8,20.5,1021.4
504,15.6,11.0,16.9,1025.0
505,30.1,19.6,30.1,1020.3
506,18.2,15.9,19.9,1020.1
507,17.7,13.6,18.3,1026.0
508,21.0,15.0,22.9,1020.7
509,25.5,21.8,26.7,1018.2
510,14.9,13.7,15.0,1023.8
511,24.1,12.4,24.6,1017.0
512,22.2,15.9,23.0,1020.7
513,30.0,27.2,30.7,1012.2
514,40.0,33.5,40.9,1004.3
515,25.4,18.3,25.9,1015.4
516,21.0,22.0,25.2,1017.4
517,23.1,12.2,23.6,1024.7
518,34.0,24.2,35.6,1013.9
519,21.1,21.2,22.6,1022.3
520,16.4,15.2,18.9,1020.1
521,19.2,15.3,22.5,1015.6
522,28.6,25.5,29.3,1011.1
523,10.1,7.0,12.1,1031.5
524,12.5,11.0,12.7,1014.0
525,17.4,12.9,18.8,1016.3
526,14.2,8.4,14.8,1027.6
527,21.5,18.3,23.1,1022.3
528,17.0,16.8,18.5,1019.2
529,22.0,21.8,23.3,1017.8
530,13.9,12.5,15.1,1023.7
531,24.7,15.5,26.6,1023.1
532,19.1,15.9,20.1,1018.2
533,24.5,23.9,25.8,1016.6
534,14.4,7.3,16.9,1011.4
535,25.1,18.8,25.6,1018.2
536,26.9,23.0,28.0,
537,24.6,24.6,31.1,1002.1
538,34.2,31.1,36.1,1015.4
539,27.8,26.7,29.4,1013.8
540,19.0,21.7,23.0,1016.5
541,10.8,5.6,12.4,1018.2
542,10.1,6.6,11.3,1024.7
543,21.0,15.0,24.1,1017.5
544,20.6,18.9,22.5,
545,33.7,25.1,36.3,1011.8
546,16.9,9.6,18.1,
547,13.2,11.4,15.1,1018.5
548,21.3,18.4,22.3,1011.8
549,24.2,16.7,25.8,1010.6
550,19.5,10.2,19.9,1019.2
551,20.3,15.7,21.3,1010.5
552,26.3,23.5,27.7,1015.3
553,18.5,12.7,18.9,1016.9
554,19.4,15.7,19.6,1018.8
555,31.0,19.2,31.2,
556,,12.3,17.5,1013.9
557,15.6,13.9,17.1,1022.0
558,26.2,19.7,27.9,1014.9
559,9.9,5.2,12.7,1023.0
560,28.5,23.7,30.8,1015.6
561,19.4,11.7,20.5,1019.4
562,17.4,17.0,20.8,1017.6
563,21.6,22.4,23.8,
564,21.9,21.0,22.6,1007.4
565,20.1,19.6,21.0,1025.9
566,18.0,15.4,18.7,1018.0
567,20.1,17.8,21.3,1019.5
568,18.4,12.0,19.2,1019.1
569,14.7,15.5,18.7,1009.2
570,36.0,22.1,38.2,1010.8
571,20.2,15.7,23.3,1015.1
572,28.2,26.1,30.4,1009.3
573,22.8,20.0,27.7,1007.9
574,22.5,19.4,24.4,1024.2
575,22.3,16.5,23.2,1015.4
576,11.8,9.7,12.5,1021.7
577,14.1,18.2,27.5,
578,17.2,13.8,19.4,1017.5
579,22.3,16.1,23.2,1026.9
580,24.2,22.9,26.4,1005.9
581,25.8,18.2,27.8,1010.8
582,11.1,6.8,11.5,1015.8
583,22.9,16.7,24.4,1011.8
584,28.8,18.3,30.2,1012.9
585,16.7,12.1,19.6,1003.2
586,,23.5,31.5,1013.9
587,21.2,13.2,21.8,1020.8
588,22.7,21.1,24.7,1010.2
589,23.5,22.4,24.7,1021.0
590,23.0,9.5,24.6,1011.2
591,14.8,12.2,15.6,1001.8
592,39.7,31.5,41.7,1007.1
593,34.0,27.2,38.2,999.5
594,29.1,19.4,30.0,1009.9
595,25.0,22.7,26.0,1018.7
596,14.3,14.2,16.0,1019.3
597,35.5,29.2,36.6,1011.8
598,24.0,15.7,24.7,1019.7
599,27.9,29.3,30.4,1007.6
600,20.6,20.6,21.8,1013.2
601,23.1,16.1,23.8,1020.1
602,17.9,8.7,18.1,1033.2
603,14.5,14.2,18.4,1021.4
604,14.4,9.1,15.0,
605,11.4,8.9,13.4,1011.9
606,22.5,14.4,23.7,
607,21.6,20.3,25.9,1007.9
608,27.7,25.5,29.8,1015.5
609,20.2,19.7,21.6,1004.8
610,32.9,27.4,34.1,1002.7
611,13.2,8.1,13.7,1017.8
612,22.1,16.4,23.9,1008.0
613,20.8,21.3,22.4,1011.1
614,9.1,11.6,13.4,1014.8
615,29.6,23.0,31.0,1010.1
616,15.5,12.9,16.2,1013.9
617,11.7,10.6,12.8,1007.9
618,19.0,16.6,20.7,1015.5
619,25.2,15.7,26.1,1020.9
620,23.5,21.8,25.0,
621,19.1,15.4,20.5,1010.4
622,26.4,24.8,28.7,1009.5
623,31.4,23.9,33.0,1016.2
624,26.7,19.3,28.4,1017.4
625,11.7,9.2,14.7,1001.9
626,17.3,17.5,18.0,1003.5
627,22.8,10.0,24.2,1021.0
628,13.3,6.6,14.7,1023.4
629,21.9,19.7,22.1,1017.9
630,23.4,20.8,23.8,1007.2
631,14.4,8.4,15.2,1017.2
632,33.1,24.1,34.1,1013.1
633,21.6,13.2,22.2,
634,9.8,5.3,10.9,1018.2
635,31.9,20.7,34.6,1008.4
636,17.1,12.8,17.6,1011.5
637,23.4,16.7,23.8,1026.1
638,,30.1,38.0,1007.9
639,,,,
640,18.1,16.5,20.2,1021.7
641,23.1,16.7,24.0,1018.6
642,21.1,18.8,21.3,1005.9
643,15.0,8.9,15.9,1013.7
644,21.6,17.0,23.4,1015.8
645,22.5,14.2,23.2,1015.0
646,26.5,24.5,28.3,1009.8
647,31.4,29.2,31.8,1008.1
648,27.0,26.2,30.0,1002.7
649,,32.5,41.5,1006.1
650,20.3,17.9,21.6,1009.8
651,15.7,8.8,17.2,1007.4
652,33.2,24.4,36.1,1011.4
653,20.6,18.3,23.0,1016.1
654,24.9,20.0,25.5,1012.4
655,15.4,12.4,16.7,1028.5
656,16.5,14.4,21.2,
657,14.0,2.6,14.6,1023.0
658,14.4,10.7,15.2,1027.9
659,10.9,1.4,11.4,
660,,,,
661,20.6,17.3,21.3,1012.8
662,24.0,18.0,25.2,1011.3
663,26.8,22.0,28.6,1021.1
664,21.7,22.1,24.7,1013.0
665,11.1,8.1,12.5,
666,19.9,18.7,21.6,1013.3
667,18.5,15.9,19.8,1012.4
668,28.0,25.4,28.9,1015.2
669,14.1,12.8,14.4,
670,15.4,11.2,16.2,1016.6
671,26.5,22.3,27.4,1011.1
672,16.8,13.0,18.3,1025.1
673,21.6,21.3,22.9,1014.7
674,29.2,20.9,29.9,1012.4
675,16.4,12.5,17.4,1006.8
676,21.1,20.5,22.2,1015.9
677,21.9,15.4,23.1,1012.3
678,20.3,19.9,21.8,1006.6
679,,,,
680,21.7,19.6,23.1,1025.3
681,28.1,25.1,28.8,1018.9
682,12.9,8.6,13.5,1024.1
683,15.9,16.2,17.8,1010.4
684,32.8,28.0,34.1,
685,18.9,10.6,19.8,1019.2
686,32.6,24.3,34.2,1014.2
687,30.8,23.3,32.1,1016.8
688,18.0,16.9,20.0,1006.0
689,15.9,10.0,17.1,1018.4
690,11.1,10.6,12.7,1019.6
691,,,,
692,20.6,13.8,21.2,1017.6
693,,29.5,35.0,1001.3
694,18.1,15.3,19.0,1002.3
695,42.9,33.9,44.2,1009.3
696,28.2,21.0,29.3,1019.8
697,26.1,19.5,26.3,1001.7
698,26.3,24.0,29.8,1009.1
699,14.3,15.1,16.5,1015.3
700,25.7,18.3,26.2,1016.0
701,18.8,18.3,21.0,1014.3
702,15.9,8.3,16.3,1015.4
703,18.8,17.6,20.6,1015.0
704,26.7,21.1,30.9,1005.5
705,16.4,8.9,20.0,1019.4
706,18.2,17.0,21.1,1007.1
707,19.8,18.7,20.7,1019.4
708,12.0,9.2,12.2,1011.8
709,12.4,8.7,13.1,1022.5
710,17.6,10.6,17.9,1035.1
711,37.5,25.0,38.9,1008.6
712,18.3,19.4,19.9,1006.6
713,13.6,9.2,14.8,1016.2
714,31.9,29.5,32.4,1008.0
715,10.8,7.5,13.4,1019.7
716,17.2,11.8,18.5,1019.6
717,29.5,22.0,30.7,1021.1
718,23.5,13.5,24.8,1021.4
719,32.6,23.5,33.7,1013.3
720,15.8,15.9,17.3,1011.1
721,12.6,11.4,14.3,1003.5
722,17.7,15.2,18.8,1016.0
723,21.6,20.0,22.2,1011.2
724,18.1,9.7,18.8,1025.8
725,18.6,14.5,19.4,1020.1
726,21.7,14.9,23.9,1019.0
727,29.4,21.4,30.9,1012.7
728,16.5,12.3,17.5,1002.0
729,15.9,15.1,17.8,1018.1
730,17.8,12.4,18.1,1021.6
731,23.4,20.0,25.0,1007.3
732,16.0,13.8,18.6,
733,21.9,17.3,22.9,1020.3
734,34.0,24.6,39.6,1009.1
735,11.1,5.2,11.4,1021.5
736,30.3,18.5,31.7,1012.2
737,22.7,18.6,24.5,1014.9
738,11.4,8.8,13.4,999.7
739,22.3,15.6,23.1,1017.4
740,25.1,16.7,25.8,1012.0
741,19.2,13.4,20.4,1018.9
742,21.8,21.1,22.4,1013.4
743,18.0,11.6,18.9,
744,22.5,23.2,32.4,
745,15.1,13.5,15.8,1028.8
746,29.4,20.6,31.2,1013.9
747,27.9,17.3,29.4,1015.7
748,37.0,29.0,37.5,1010.6
749,16.2,12.6,16.7,1020.1
750,15.6,7.0,16.7,1016.6
751,20.0,15.2,20.8,1010.8
752,23.9,20.7,26.4,1018.0
753,22.4,18.2,23.9,1008.0
754,26.2,21.4,27.4,1010.7
755,24.8,18.4,25.6,1017.8
